Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,682,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,741,2
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,639,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,771,2
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,1831,1
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,1998,2
2026-01-01,1,Ciutat Vella,1,el Raval,2,1004,1378,1
2026-01-01,1,Ciutat Vella,1,el Raval,2,1004,1719,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1005,1154,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1005,1429,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1006,831,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1006,1014,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,883,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,1328,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,1445,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,1957,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,1045,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,1343,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,1146,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,1520,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,1684,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,2088,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,1003,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,1136,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,707,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,765,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,872,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,901,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,1254,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,1376,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,1086,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,1086,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,1296,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,1509,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,816,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,819,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,1353,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,1730,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,1175,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,1094,2
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,1135,1
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,1124,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,699,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,744,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1097,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1199,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,707,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,776,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,2535,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,10054,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,784,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,838,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1000,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1024,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,711,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,811,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1222,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1321,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,794,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,996,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,882,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,866,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,500,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,583,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,509,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,488,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,568,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,583,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,611,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,536,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,671,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,633,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,690,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,738,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,639,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,705,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,542,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,534,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,763,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,780,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,932,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,912,2
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,839,1
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,958,2
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,729,1
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,683,2
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,981,1
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,1075,2
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,915,1
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,1004,2
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,879,1
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,902,2
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,1129,1
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,1134,2
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,726,1
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,743,2
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,758,1
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,835,2
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,873,1
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,952,2
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,1226,1
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,1184,2
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,950,1
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,898,2
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,622,1
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,612,2
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,724,1
2026-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,658,2
2026-01-01,2,Eixample,5,el Fort Pienc,20,2001,702,1
2026-01-01,2,Eixample,5,el Fort Pienc,20,2001,642,2
2026-01-01,2,Eixample,5,el Fort Pienc,20,2002,2309,1
2026-01-01,2,Eixample,5,el Fort Pienc,20,2002,2969,2
2026-01-01,2,Eixample,5,el Fort Pienc,20,2003,621,1
2026-01-01,2,Eixample,5,el Fort Pienc,20,2003,498,2
2026-01-01,2,Eixample,5,el Fort Pienc,20,2004,774,1
2026-01-01,2,Eixample,5,el Fort Pienc,20,2004,720,2
2026-01-01,2,Eixample,5,el Fort Pienc,20,2005,1244,1
2026-01-01,2,Eixample,5,el Fort Pienc,20,2005,2801,2
2026-01-01,2,Eixample,5,el Fort Pienc,20,2006,843,1
2026-01-01,2,Eixample,5,el Fort Pienc,20,2006,786,2
2026-01-01,2,Eixample,5,el Fort Pienc,20,2007,684,1
2026-01-01,2,Eixample,5,el Fort Pienc,20,2007,599,2
2026-01-01,2,Eixample,5,el Fort Pienc,20,2008,1021,1
2026-01-01,2,Eixample,5,el Fort Pienc,20,2008,923,2
2026-01-01,2,Eixample,5,el Fort Pienc,20,2009,928,1
2026-01-01,2,Eixample,5,el Fort Pienc,20,2009,789,2
2026-01-01,2,Eixample,5,el Fort Pienc,21,2010,661,1
2026-01-01,2,Eixample,5,el Fort Pienc,21,2010,562,2
2026-01-01,2,Eixample,5,el Fort Pienc,21,2011,567,1
2026-01-01,2,Eixample,5,el Fort Pienc,21,2011,543,2
2026-01-01,2,Eixample,5,el Fort Pienc,21,2012,813,1
2026-01-01,2,Eixample,5,el Fort Pienc,21,2012,758,2
2026-01-01,2,Eixample,5,el Fort Pienc,21,2013,689,1
2026-01-01,2,Eixample,5,el Fort Pienc,21,2013,679,2
2026-01-01,2,Eixample,5,el Fort Pienc,22,2014,722,1
2026-01-01,2,Eixample,5,el Fort Pienc,22,2014,667,2
2026-01-01,2,Eixample,5,el Fort Pienc,22,2015,859,1
2026-01-01,2,Eixample,5,el Fort Pienc,22,2015,803,2
2026-01-01,2,Eixample,5,el Fort Pienc,22,2016,1026,1
2026-01-01,2,Eixample,5,el Fort Pienc,22,2016,939,2
2026-01-01,2,Eixample,5,el Fort Pienc,22,2017,1050,1
2026-01-01,2,Eixample,5,el Fort Pienc,22,2017,928,2
2026-01-01,2,Eixample,5,el Fort Pienc,22,2018,984,1
2026-01-01,2,Eixample,5,el Fort Pienc,22,2018,867,2
2026-01-01,2,Eixample,5,el Fort Pienc,22,2019,1049,1
2026-01-01,2,Eixample,5,el Fort Pienc,22,2019,940,2
2026-01-01,2,Eixample,5,el Fort Pienc,22,2020,916,1
2026-01-01,2,Eixample,5,el Fort Pienc,22,2020,797,2
2026-01-01,2,Eixample,6,la Sagrada Família,23,2021,806,1
2026-01-01,2,Eixample,6,la Sagrada Família,23,2021,705,2
2026-01-01,2,Eixample,6,la Sagrada Família,23,2022,683,1
2026-01-01,2,Eixample,6,la Sagrada Família,23,2022,633,2
2026-01-01,2,Eixample,6,la Sagrada Família,23,2023,558,1
2026-01-01,2,Eixample,6,la Sagrada Família,23,2023,455,2
2026-01-01,2,Eixample,6,la Sagrada Família,23,2024,630,1
2026-01-01,2,Eixample,6,la Sagrada Família,23,2024,588,2
2026-01-01,2,Eixample,6,la Sagrada Família,24,2025,645,1
2026-01-01,2,Eixample,6,la Sagrada Família,24,2025,553,2
2026-01-01,2,Eixample,6,la Sagrada Família,24,2026,1120,1
2026-01-01,2,Eixample,6,la Sagrada Família,24,2026,978,2
2026-01-01,2,Eixample,6,la Sagrada Família,24,2027,1067,1
2026-01-01,2,Eixample,6,la Sagrada Família,24,2027,1006,2
2026-01-01,2,Eixample,6,la Sagrada Família,24,2028,1093,1
2026-01-01,2,Eixample,6,la Sagrada Família,24,2028,973,2
2026-01-01,2,Eixample,6,la Sagrada Família,24,2029,711,1
2026-01-01,2,Eixample,6,la Sagrada Família,24,2029,585,2
2026-01-01,2,Eixample,6,la Sagrada Família,24,2030,786,1
2026-01-01,2,Eixample,6,la Sagrada Família,24,2030,671,2
2026-01-01,2,Eixample,6,la Sagrada Família,24,2031,567,1
2026-01-01,2,Eixample,6,la Sagrada Família,24,2031,472,2
2026-01-01,2,Eixample,6,la Sagrada Família,24,2032,714,1
2026-01-01,2,Eixample,6,la Sagrada Família,24,2032,533,2
2026-01-01,2,Eixample,6,la Sagrada Família,25,2033,654,1
2026-01-01,2,Eixample,6,la Sagrada Família,25,2033,571,2
2026-01-01,2,Eixample,6,la Sagrada Família,25,2034,696,1
2026-01-01,2,Eixample,6,la Sagrada Família,25,2034,506,2
2026-01-01,2,Eixample,6,la Sagrada Família,25,2035,745,1
2026-01-01,2,Eixample,6,la Sagrada Família,25,2035,618,2
2026-01-01,2,Eixample,6,la Sagrada Família,25,2036,652,1
2026-01-01,2,Eixample,6,la Sagrada Família,25,2036,554,2
2026-01-01,2,Eixample,6,la Sagrada Família,25,2037,624,1
2026-01-01,2,Eixample,6,la Sagrada Família,25,2037,567,2
2026-01-01,2,Eixample,6,la Sagrada Família,25,2038,795,1
2026-01-01,2,Eixample,6,la Sagrada Família,25,2038,748,2
2026-01-01,2,Eixample,6,la Sagrada Família,25,2039,1062,1
2026-01-01,2,Eixample,6,la Sagrada Família,25,2039,848,2
2026-01-01,2,Eixample,6,la Sagrada Família,25,2040,918,1
2026-01-01,2,Eixample,6,la Sagrada Família,25,2040,865,2
2026-01-01,2,Eixample,6,la Sagrada Família,26,2041,950,1
2026-01-01,2,Eixample,6,la Sagrada Família,26,2041,765,2
2026-01-01,2,Eixample,6,la Sagrada Família,26,2042,907,1
2026-01-01,2,Eixample,6,la Sagrada Família,26,2042,768,2
2026-01-01,2,Eixample,6,la Sagrada Família,26,2043,809,1
2026-01-01,2,Eixample,6,la Sagrada Família,26,2043,727,2
2026-01-01,2,Eixample,6,la Sagrada Família,26,2044,727,1
2026-01-01,2,Eixample,6,la Sagrada Família,26,2044,585,2
2026-01-01,2,Eixample,6,la Sagrada Família,26,2045,648,1
2026-01-01,2,Eixample,6,la Sagrada Família,26,2045,566,2
2026-01-01,2,Eixample,6,la Sagrada Família,26,2046,1066,1
2026-01-01,2,Eixample,6,la Sagrada Família,26,2046,912,2
2026-01-01,2,Eixample,6,la Sagrada Família,26,2047,1000,1
2026-01-01,2,Eixample,6,la Sagrada Família,26,2047,901,2
2026-01-01,2,Eixample,6,la Sagrada Família,26,2048,762,1
2026-01-01,2,Eixample,6,la Sagrada Família,26,2048,652,2
2026-01-01,2,Eixample,6,la Sagrada Família,27,2049,1143,1
2026-01-01,2,Eixample,6,la Sagrada Família,27,2049,976,2
2026-01-01,2,Eixample,6,la Sagrada Família,27,2050,923,1
2026-01-01,2,Eixample,6,la Sagrada Família,27,2050,779,2
2026-01-01,2,Eixample,6,la Sagrada Família,27,2051,1019,1
2026-01-01,2,Eixample,6,la Sagrada Família,27,2051,887,2
2026-01-01,2,Eixample,6,la Sagrada Família,27,2052,982,1
2026-01-01,2,Eixample,6,la Sagrada Família,27,2052,852,2
2026-01-01,2,Eixample,6,la Sagrada Família,27,2053,1023,1
2026-01-01,2,Eixample,6,la Sagrada Família,27,2053,897,2
2026-01-01,2,Eixample,6,la Sagrada Família,27,2054,1071,1
2026-01-01,2,Eixample,6,la Sagrada Família,27,2054,949,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2055,934,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2055,858,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2056,896,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2056,728,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2057,680,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2057,592,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2058,765,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2058,670,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2059,928,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2059,777,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2060,942,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2060,825,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2061,768,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2061,616,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2062,853,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2062,755,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2063,719,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2063,522,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2064,753,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2064,621,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2065,1042,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2065,910,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2066,983,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2066,823,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2067,942,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2067,773,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2068,918,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2068,803,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2069,727,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2069,646,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,31,2070,668,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,31,2070,580,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,31,2071,881,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,31,2071,814,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,31,2072,648,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,31,2072,616,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2073,934,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2073,866,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2074,620,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2074,639,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2075,638,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2075,574,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2076,836,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2076,756,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,33,2077,898,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,33,2077,945,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,34,2078,734,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,34,2078,646,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,34,2079,756,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,34,2079,722,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,35,2080,860,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,35,2080,795,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,35,2081,1209,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,35,2081,1059,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,36,2082,537,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,36,2082,462,2
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,36,2083,1100,1
2026-01-01,2,Eixample,7,la Dreta de l'Eixample,36,2083,902,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2084,1155,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2084,950,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2085,825,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2085,622,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2086,806,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2086,622,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2087,796,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2087,653,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,922,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,823,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,970,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,877,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,954,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,833,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,942,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,915,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,908,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,894,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2093,876,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2093,840,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,773,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,753,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2095,764,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2095,749,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2096,752,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2096,681,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2097,604,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2097,540,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,781,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,748,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2099,786,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2099,746,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2100,742,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2100,670,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2101,1216,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2101,1032,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2102,762,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2102,623,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2103,904,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2103,795,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2104,606,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2104,565,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2105,1175,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2105,1020,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,43,2106,757,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,43,2106,673,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,43,2107,879,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,43,2107,753,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,43,2108,939,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,43,2108,718,2
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,43,2109,1224,1
2026-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,43,2109,1008,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2110,1081,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2110,938,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2111,1061,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2111,914,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2112,688,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2112,575,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2113,1181,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2113,1079,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2114,892,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2114,732,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2115,815,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2115,692,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2116,532,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2116,469,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2117,686,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2117,537,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2118,789,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2118,657,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2119,670,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2119,629,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2120,605,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2120,580,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2121,669,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2121,604,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2122,605,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2122,497,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2123,588,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2123,554,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,46,2124,630,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,46,2124,518,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,46,2125,918,1
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,46,2125,771,2
2026-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,46,2126,813,1
